ifc_id,time_of_concentration,area,slope,soil1,soil2,soil3,soil4,soil5,soil6,soil7,soil8,soil9,soil10,soil11,soil12
519,43.99999999,403,0.002545,0,0,0,0.57847885,0,0.420830665,0.000690486,0,0,0,0,0
521,25.99999999,219,0.00432,0,0,0,0.00075658,0,0.99924342,0,0,0,0,0,0
522,9,34,0.002245,0,0,0,0.001128748,0,0.998871252,0,0,0,0,0,0
523,22.99999999,177,0.00201,0,0,0,0.894019822,0,0.103501073,0.002479104,0,0,0,0,0
525,37.99999999,351,0.003575,0,0,0,0.495864105,0,0.503482355,0,0,0,0,0,0
526,45,503,0.003275,0,0,0,0.141604947,0,0.857646596,0,0,0,0,0,0
527,43.00000001,347,0.00136,0,0,0,0.979104262,0,0.017901091,0.001993176,0,0.001001472,0,0,0
532,10.99999999,58,0.00141,0,0,0,0.003761643,0,0.894172304,0,0,0.102066053,0,0,0
534,33,225,0.001085,0,0,0,0.458204091,0,0.00263252,0.535296487,0,0.003866902,0,0,0
535,15,119,0.001915,0,0,0,0.007109106,0,0.3757652,0,0,0.617125695,0,0,0
536,12,57,0.00151,0,0,0,0.000157585,0,0.657731911,0,0,0.342110505,0,0,0
537,18,201,0.001705,0,0,0,0.004632567,0,0.939242245,0,0,0.056125189,0,0,0
538,13.00000001,71,0.001955,0,0,0,0.010127732,0,0.619243202,0,0,0.370629066,0,0,0
539,25.99999999,187,0.00201,0,0,0,4.26E-05,0,0.540149425,0,0,0.45980797,0,0,0
540,169,3117,0.002185,0,0,0,0.245306819,0,0.460400986,0.17027865,0,0.124013545,0,0,0
541,7.000000008,26,0.001665,0,0,0,0,0,1,0,0,0,0,0,0
542,3,8,0.00116,0,0,0,0,0,0.98778433,0,0,0.01221567,0,0,0
543,10.99999999,61,0.00187,0,0,0,0.039302979,0,0.759814086,0,0,0.200882935,0,0,0
544,16.99999999,98,0.00187,0,0,0,0.032924425,0,0.839853377,0,0,0.127222198,0,0,0
546,28.00000001,201,0.002185,0,0,0,0,0,0.777348488,0,0,0.222651512,0,0,0
549,43.00000001,298,0.00125,0,0,0,0.865713927,0,0.111945507,0.002415391,0,0.019925174,0,0,0
551,25.00000001,300,0.001595,0,0,0,0.19921358,0,0.753814086,0,0,0.046972334,0,0,0
552,31.99999999,297,0.00178,0,0,0,0.009387571,0,0.889213181,0,0,0.101399248,0,0,0
553,1.999999992,3,0.000375,0,0,0,0,0,1,0,0,0,0,0,0
554,31.99999999,288,0.001695,0,0,0,0.58466216,0,0.002207542,0.413037721,0,9.26E-05,0,0,0
556,48,533,0.001785,0,0,0,0,0,0.639611081,0,0,0.360388919,0,0,0
557,13.00000001,62,0.00091,0,0,0,0,0,0.275852398,0,0,0.724147602,0,0,0
562,30,418,0.000935,0,0,0,0.164458726,0,0,0.83521561,0,0.000325664,0,0,0
563,211,5892,0.00126,0,0,0,0.348798169,0,0.000597601,0.634787042,0,0.01581611,0,0,0
564,37.00000001,726,0.001015,0,0,0,0.271607621,0,0.000429859,0.665400361,0,0.062562159,0,0,0
565,37.00000001,367,0.00157,0,0,0,0.401055769,0,0.079597299,0.158187394,0,0.361159538,0,0,0
566,43.99999999,411,0.00156,0,0,0,0.427767372,0,0.078470187,0.153756433,0,0.340006008,0,0,0
568,13.00000001,78,0.001395,0,0,0,0.76002614,0,0.006159494,0.233283702,0,0.000530664,0,0,0
569,12,59,0.000955,0,0,0,0.308106797,0,0,0.691893203,0,0,0,0,0
570,18,91,0.00114,0,0,0,0.465088701,0,0.000237886,0.534673413,0,0,0,0,0
571,238,11752,0.001905,0,0,0,0.343936389,0,0.066980788,0.479961476,0,0.109076753,0,0,0
572,36,332,0.002865,0,0,0,0.241645927,0,0.54459238,0.010331528,0,0.203430165,0,0,0
573,255,12371,0.002005,0,0,0,0.333223864,0,0.095950321,0.455783514,0,0.11499998,0,0,0
574,18,91,0.002165,0,0,0,0.035047567,0,0.833664688,0.002677957,0,0.128609788,0,0,0
575,58.99999999,764,0.002495,0,0,0,0.021376428,0,0.414852426,0.020390285,0,0.542537074,0,0,0
579,43.99999999,542,0.002595,0,0,0,0.111405841,0,0.483765968,0.013281774,0,0.391546417,0,0,0
585,54,491,0.0028,0,0,0,0.499815962,0,0.499616959,0.000567079,0,0,0,0,0
586,76.99999999,769,0.003835,0,0,0,0.331822072,0,0.667816411,0.000361517,0,0,0,0,0
587,43.99999999,644,0.0025,0,0,0,0.845588017,0,0.153347343,0.00106464,0,0,0,0,0
588,70.00000001,911,0.00302,0,0,0,0.617568389,0,0.381409371,0.000751683,0,0,0,0,0
589,79.99999999,1557,0.003725,0,0,0,0.475719198,0,0.523536057,0.000438951,0,0,0,0,0
590,22.00000001,282,0.002035,0,0,0,0.871582382,0,0.119629464,0,0,0,0,0,0
591,73.00000001,1550,0.003315,0,0,0,0.36508603,0,0.630302875,0,0,0.000325393,0,0,0
592,70.00000001,1052,0.001635,0,0,0,0.954973957,0,0.041127886,0.001213159,0,0.000530791,0,0,0
593,108,1581,0.001765,0,0,0,0.910932147,0,0.079193809,0.000804875,0,0.000352155,0,0,0
594,154,2287,0.00183,0,0,0,0.683026996,0,0.300492923,0.000914271,0,0.008036039,0,0,0
595,37.00000001,426,0.00094,0,0,0,0.470234243,0,0,0.529182078,0,0.000583679,0,0,0
596,97.99999999,1534,0.001565,0,0,0,0.469941389,0,0.135324419,0.346796148,0,0.047938043,0,0,0
597,139,2795,0.00216,0,0,0,0.25959444,0,0.413677062,0.190038642,0,0.136689856,0,0,0
598,174,3267,0.002235,0,0,0,0.234899771,0,0.480603031,0.162361906,0,0.122135292,0,0,0
599,46.00000001,576,0.002465,0,0,0,0.00066583,0,0.791443464,0,0,0.207890706,0,0,0
600,188,4291,0.002415,0,0,0,0.181796484,0,0.559223114,0.1233213,0,0.135425114,0,0,0
601,61.00000001,1077,0.00134,0,0,0,0.743284685,0,0.179625006,0.048821405,0,0.028268903,0,0,0
602,82.99999999,1563,0.001475,0,0,0,0.795398658,0,0.146939993,0.03420441,0,0.023456939,0,0,0
603,91.00000001,1676,0.00147,0,0,0,0.803905512,0,0.141808474,0.031881932,0,0.021864304,0,0,0
604,49.99999999,852,0.00145,0,0,0,0.720788741,0,0.098192276,0.172963129,0,0.007239544,0,0,0
605,46.00000001,484,0.0011,0,0,0,0.820792823,0,0.00126883,0.17729924,0,0.000639107,0,0,0
606,85.99999999,1711,0.00133,0,0,0,0.815957928,0,0.049777565,0.122750958,0,0.010529298,0,0,0
607,31.99999999,349,0.001525,0,0,0,0.450003408,0,0.467179745,0.030622614,0,0.052192202,0,0,0
608,99,4714,0.001645,0,0,0,0.767710334,0,0.121735995,0.08943611,0,0.016765898,0,0,0
609,104,5133,0.00169,0,0,0,0.734405402,0,0.158576891,0.0820772,0,0.018163176,0,0,0
610,131,6022,0.00177,0,0,0,0.686072541,0,0.21358284,0.069834367,0,0.021940508,0,0,0
611,146,6323,0.001805,0,0,0,0.672884636,0,0.229531279,0.066460701,0,0.022350685,0,0,0
612,156,6492,0.001825,0,0,0,0.670922241,0,0.233797685,0.064715237,0,0.021763687,0,0,0
613,206,7753,0.001895,0,0,0,0.588798226,0,0.327958962,0.054132621,0,0.021030072,0,0,0
614,223,12483,0.002235,0,0,0,0.431864496,0,0.418618866,0.076164643,0,0.066965986,0,0,0
615,229,12605,0.00223,0,0,0,0.429334767,0,0.421383042,0.075419068,0,0.067506826,0,0,0
616,28.00000001,314,0.00109,0,0,0,0.363955638,0,0,0.567235508,0,0.068808854,0,0,0
617,22.99999999,213,0.00117,0,0,0,0.576177865,0,6.83E-06,0.40753301,0,0.016282291,0,0,0
618,31.99999999,563,0.00127,0,0,0,0.460531311,0,2.59E-06,0.49417612,0,0.045289977,0,0,0
619,55.00000001,813,0.001425,0,0,0,0.490253001,0,0.027351707,0.414493376,0,0.066939807,0,0,0
620,87,1657,0.00207,0,0,0,0.375689422,0,0.209707717,0.27951789,0,0.13461464,0,0,0
621,63,735,0.002575,0,0,0,0.023164859,0,0.682391734,0.002103634,0,0.292339773,0,0,0
622,167,4333,0.0024,0,0,0,0.147040763,0,0.519836862,0.106574667,0,0.226368978,0,0,0
624,101,1669,0.001125,0,0,0,0.490140392,0,0.000712176,0.47014149,0,0.039005942,0,0,0
625,135,2286,0.0011,0,0,0,0.437187758,0,0.000518315,0.532625797,0,0.02966813,0,0,0
626,61.00000001,885,0.00093,0,0,0,0.265808246,0,0,0.734191754,0,0,0,0,0
627,84,1304,0.000965,0,0,0,0.26384719,0,0,0.73615281,0,0,0,0,0
628,148,4244,0.001145,0,0,0,0.354110585,0,0.000278195,0.629642111,0,0.015969109,0,0,0
629,52.00000001,840,0.00102,0,0,0,0.202880782,0,0,0.776956683,0,0.020162536,0,0,0
630,173,5500,0.001215,0,0,0,0.329440096,0,0.000258732,0.653430749,0,0.016870423,0,0,0
631,42,371,0.001195,0,0,0,0.516555563,0,0.000791574,0.476871437,0,0.005781426,0,0,0
632,216,6305,0.00129,0,0,0,0.361861756,0,0.001600852,0.621177183,0,0.015276416,0,0,0
634,79.99999999,1658,0.001205,0,0,0,0.318596942,0,0.001185146,0.620181599,0,0.060036314,0,0,0
635,57,972,0.002435,0,0,0,0.387291618,0,0.120209529,0.160807779,0,0.331691074,0,0,0
636,115,3436,0.00179,0,0,0,0.35411835,0,0.041498301,0.47049751,0,0.13388584,0,0,0
637,128,3517,0.001805,0,0,0,0.354148448,0,0.05066886,0.460950265,0,0.134232427,0,0,0
638,131,3612,0.00182,0,0,0,0.36290068,0,0.05184624,0.45384763,0,0.13140545,0,0,0
639,218,9926,0.001555,0,0,0,0.362441801,0,0.020431979,0.559165907,0,0.05790735,0,0,0
640,43.00000001,350,0.002905,0,0,0,0.145153355,0,0.215736394,0.010351322,0,0.62875893,0,0,0
641,60,499,0.00284,0,0,0,0.234447249,0,0.251858383,0.040846777,0,0.472847591,0,0,0
642,30,461,0.00323,0,0,0,0.392215449,0,0.269839528,0.044954199,0,0.292990823,0,0,0
643,262.0000001,12526,0.002025,0,0,0,0.329329291,0,0.105294701,0.450095276,0,0.115238941,0,0,0
644,28.99999999,374,0.003205,0,0,0,0.114895983,0,0.84932623,0.000397683,0,0.035380103,0,0,0
645,285,13421,0.002135,0,0,0,0.310305525,0,0.158554195,0.419499116,0,0.111602215,0,0,0
646,315,14083,0.00218,0,0,0,0.295831129,0,0.197419982,0.399339759,0,0.107372053,0,0,0
648,43.99999999,853,0.00141,0,0,0,0.341102803,0,0.106366982,0.153647219,0,0.398882995,0,0,0
649,57,1592,0.001535,0,0,0,0.209564602,0,0.064965783,0.145426806,0,0.580042808,0,0,0
653,28.99999999,268,0.00108,0,0,0,0.027199567,0,0.002818814,0.040286199,0,0.92969542,0,0,0
654,52.99999999,889,0.00165,0,0,0,0.009350541,0,0.099033704,0.016360944,0,0.875254811,0,0,0
655,40.00000001,524,0.00253,0,0,0,0.00062017,0,0.428349797,0.003740576,0,0.561786053,0,0,0
656,40.00000001,424,0.001035,0,0,0,0.412373275,0,0,0.376760079,0,0.210866645,0,0,0
657,70.00000001,1541,0.001305,0,0,0,0.440407606,0,0.000292202,0.379144767,0,0.180155425,0,0,0
658,110,2479,0.001635,0,0,0,0.341691242,0,0.031017164,0.259659021,0,0.367632573,0,0,0
659,46.99999999,671,0.0023,0,0,0,0.024341777,0,0.338420175,0.023218836,0,0.614019212,0,0,0
660,58.99999999,764,0.002495,0,0,0,0.021369504,0,0.414852083,0.020383681,0,0.542450702,0,0,0
661,34.99999999,402,0.00341,0,0,0,0,0,0.838484906,0,0,0.161515094,0,0,0
662,63,859,0.00289,0,0,0,0.00051476,0,0.636271313,0.007022829,0,0.356191098,0,0,0
663,37.99999999,611,0.003105,0,0,0,0,0,0.505627148,0,0,0.494372852,0,0,0
664,67.00000001,1324,0.00319,0,0,0,0,0,0.629530085,0,0,0.370469915,0,0,0
665,34.99999999,440,0.00321,0,0,0,0.002479247,0,0.157164884,0.010065498,0,0.83029037,0,0,0
666,55.00000001,897,0.003395,0,0,0,0.002163324,0,0.324392102,0.006535779,0,0.666908795,0,0,0
667,82.00000001,2822,0.00358,0,0,0,0.001038152,0,0.491482692,0.00207347,0,0.505405686,0,0,0
668,46.00000001,763,0.003365,0,0,0,0.042720172,0,0.108937191,0.008049843,0,0.840292793,0,0,0
669,16.00000001,86,0.001685,0,0,0,0.026485289,0,0.163790832,0.001609662,0,0.808114218,0,0,0
670,58.99999999,698,0.00304,0,0,0,0.279144183,0,0.251930668,0.033016662,0,0.435908487,0,0,0
671,25.00000001,185,0.002165,0,0,0,0.043316986,0,0.459699074,0.005717526,0,0.491266414,0,0,0
673,54,741,0.00271,0,0,0,0.119367318,0,0.551043566,0.009786565,0,0.319802551,0,0,0
1609,112,1879,0.001805,0,0,0,0.385303616,0,0.219558332,0.2834614,0,0.111676652,0,0,0
1688,177,7055,0.00188,0,0,0,0.639149386,0,0.270927055,0.059480773,0,0.022108394,0,0,0
